"variable","base_var","always_zero","nonzero_steps","total_steps","proportion_nonzero","filename","type","dataset","h","w"
"NASDAQCOM_lag4","NASDAQCOM",FALSE,1,26,0.0384615384615385,"forecast_full_w105.RData","forecast","full",NA,105
"NASDAQCOM_lag5","NASDAQCOM",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"NASDAQCOM_lag6","NASDAQCOM",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"NASDAQCOM_lag7","NASDAQCOM",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"NASDAQCOM_lag8","NASDAQCOM",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"NASDAQCOM_lag9","NASDAQCOM",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"NASDAQCOM_lag10","NASDAQCOM",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"NASDAQCOM_lag11","NASDAQCOM",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"NASDAQCOM_lag12","NASDAQCOM",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"NASDAQCOM_lag13","NASDAQCOM",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"NASDAQCOM_lag14","NASDAQCOM",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"NASDAQCOM_lag15","NASDAQCOM",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"NASDAQCOM_lag16","NASDAQCOM",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"NASDAQCOM_lag17","NASDAQCOM",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"NASDAQCOM_lag18","NASDAQCOM",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"NASDAQCOM_lag19","NASDAQCOM",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"NASDAQCOM_lag20","NASDAQCOM",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"NASDAQCOM_lag21","NASDAQCOM",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"NASDAQCOM_lag22","NASDAQCOM",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"NASDAQCOM_lag23","NASDAQCOM",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"NASDAQCOM_lag24","NASDAQCOM",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"NASDAQCOM_lag25","NASDAQCOM",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"NASDAQCOM_lag26","NASDAQCOM",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"NASDAQCOM_lag27","NASDAQCOM",FALSE,5,26,0.192307692307692,"forecast_full_w105.RData","forecast","full",NA,105
"NASDAQCOM_lag28","NASDAQCOM",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"NASDAQCOM_lag29","NASDAQCOM",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"NASDAQCOM_lag30","NASDAQCOM",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"NASDAQCOM_lag31","NASDAQCOM",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"NASDAQCOM_lag32","NASDAQCOM",FALSE,1,26,0.0384615384615385,"forecast_full_w105.RData","forecast","full",NA,105
"NASDAQCOM_lag33","NASDAQCOM",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"NASDAQCOM_lag34","NASDAQCOM",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"NASDAQCOM_lag35","NASDAQCOM",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"NASDAQCOM_lag36","NASDAQCOM",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"NASDAQCOM_lag37","NASDAQCOM",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"NASDAQCOM_lag38","NASDAQCOM",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"NASDAQCOM_lag39","NASDAQCOM",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"NASDAQCOM_lag40","NASDAQCOM",FALSE,1,26,0.0384615384615385,"forecast_full_w105.RData","forecast","full",NA,105
"NASDAQCOM_lag41","NASDAQCOM",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"NASDAQCOM_lag42","NASDAQCOM",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"NASDAQCOM_lag43","NASDAQCOM",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"NASDAQCOM_lag44","NASDAQCOM",FALSE,1,26,0.0384615384615385,"forecast_full_w105.RData","forecast","full",NA,105
"NASDAQCOM_lag45","NASDAQCOM",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"NASDAQCOM_lag46","NASDAQCOM",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"NASDAQCOM_lag47","NASDAQCOM",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"NASDAQCOM_lag48","NASDAQCOM",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"NASDAQCOM_lag49","NASDAQCOM",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"NASDAQCOM_lag50","NASDAQCOM",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"NASDAQCOM_lag51","NASDAQCOM",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"NASDAQCOM_lag52","NASDAQCOM",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"NASDAQCOM_lag53","NASDAQCOM",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"NASDAQCOM_lag54","NASDAQCOM",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"NASDAQCOM_lag55","NASDAQCOM",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"NASDAQCOM_lag56","NASDAQCOM",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"NASDAQCOM_lag57","NASDAQCOM",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"NASDAQCOM_lag58","NASDAQCOM",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"NASDAQCOM_lag59","NASDAQCOM",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag0","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag1","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag2","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag3","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag4","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag5","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag6","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag7","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag8","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag9","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag10","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag11","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag12","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag13","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag14","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag15","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag16","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag17","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag18","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag19","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag20","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag21","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag22","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag23","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag24","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag25","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag26","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag27","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag28","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag29","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag30","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag31","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag32","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag33","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag34","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag35","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag36","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag37","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag38","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag39","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag40","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag41","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag42","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag43","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag44","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag45","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag46","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag47","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag48","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag49","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag50","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag51","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag52","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag53","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag54","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag55","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag56","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag57","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag58","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS_lag59","VIXCLS",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag0","DJIA",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag1","DJIA",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag2","DJIA",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag3","DJIA",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag4","DJIA",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag5","DJIA",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag6","DJIA",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag7","DJIA",FALSE,5,26,0.192307692307692,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag8","DJIA",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag9","DJIA",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag10","DJIA",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag11","DJIA",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag12","DJIA",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag13","DJIA",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag14","DJIA",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag15","DJIA",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag16","DJIA",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag17","DJIA",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag18","DJIA",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag19","DJIA",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag20","DJIA",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag21","DJIA",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag22","DJIA",FALSE,1,26,0.0384615384615385,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag23","DJIA",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag24","DJIA",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag25","DJIA",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag26","DJIA",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag27","DJIA",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag28","DJIA",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag29","DJIA",FALSE,4,26,0.153846153846154,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag30","DJIA",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag31","DJIA",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag32","DJIA",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag33","DJIA",FALSE,1,26,0.0384615384615385,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag34","DJIA",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag35","DJIA",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag36","DJIA",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag37","DJIA",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag38","DJIA",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag39","DJIA",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag40","DJIA",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag41","DJIA",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag42","DJIA",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag43","DJIA",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag44","DJIA",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag45","DJIA",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag46","DJIA",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag47","DJIA",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag48","DJIA",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag49","DJIA",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag50","DJIA",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag51","DJIA",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag52","DJIA",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag53","DJIA",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag54","DJIA",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag55","DJIA",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag56","DJIA",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag57","DJIA",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag58","DJIA",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA_lag59","DJIA",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"EPU_lag0","EPU",FALSE,2,26,0.0769230769230769,"forecast_full_w105.RData","forecast","full",NA,105
