"base_var","all_lags_grouped_steps","proportion_all_grouped","some_lags_grouped_steps","proportion_some_grouped","total_steps","filename","type","dataset","h","w"
"INDPRO",3,0.115384615384615,0,0,26,"forecast_reduced_w105.RData","forecast","reduced",NA,105
"GDP",0,0,0,0,26,"forecast_reduced_w105.RData","forecast","reduced",NA,105
"NFCI",45,0.692307692307692,2,0.0307692307692308,65,"forecast_reduced_w66.RData","forecast","reduced",NA,66
"ICSA",3,0.0461538461538462,3,0.0461538461538462,65,"forecast_reduced_w66.RData","forecast","reduced",NA,66
"AMTMNO",0,0,3,0.0461538461538462,65,"forecast_reduced_w66.RData","forecast","reduced",NA,66
"CPIAUCSL",0,0,0,0,65,"forecast_reduced_w66.RData","forecast","reduced",NA,66
"RSAFS",29,0.446153846153846,2,0.0307692307692308,65,"forecast_reduced_w66.RData","forecast","reduced",NA,66
"HOUST",8,0.123076923076923,0,0,65,"forecast_reduced_w66.RData","forecast","reduced",NA,66
"PERMIT",42,0.646153846153846,0,0,65,"forecast_reduced_w66.RData","forecast","reduced",NA,66
"UNRATE",0,0,0,0,65,"forecast_reduced_w66.RData","forecast","reduced",NA,66
"PAYEMS",3,0.0461538461538462,0,0,65,"forecast_reduced_w66.RData","forecast","reduced",NA,66
"INDPRO",38,0.584615384615385,8,0.123076923076923,65,"forecast_reduced_w66.RData","forecast","reduced",NA,66
"GDP",0,0,0,0,65,"forecast_reduced_w66.RData","forecast","reduced",NA,66
"SP500",8,0.307692307692308,0,0,26,"nowcast_full_w105.RData","nowcast","full",NA,105
"NASDAQCOM",8,0.307692307692308,0,0,26,"nowcast_full_w105.RData","nowcast","full",NA,105
"VIXCLS",9,0.346153846153846,0,0,26,"nowcast_full_w105.RData","nowcast","full",NA,105
"DJIA",5,0.192307692307692,0,0,26,"nowcast_full_w105.RData","nowcast","full",NA,105
"EPU",18,0.692307692307692,2,0.0769230769230769,26,"nowcast_full_w105.RData","nowcast","full",NA,105
"NFCI",23,0.884615384615385,0,0,26,"nowcast_full_w105.RData","nowcast","full",NA,105
"CCSA",10,0.384615384615385,6,0.230769230769231,26,"nowcast_full_w105.RData","nowcast","full",NA,105
"ICSA",15,0.576923076923077,0,0,26,"nowcast_full_w105.RData","nowcast","full",NA,105
