"dataset","reduction","window","h","mse_star_post","mse_star_simple","mse_midasml","mse_rw","mse_ar1"
"nowcast","full",66,0,0.000173846572613617,0.000224636978401127,0.000232309899925866,NA,NA
"forecast","full",66,0,0.000200087449039659,0.000219072140591542,0.000197642809648034,0.000641505947613043,0.000627319279273131
"nowcast","reduced",66,0,0.000183808530153791,0.00018616083907273,0.000263758909142712,NA,NA
"forecast","reduced",66,0,0.000203371936832896,0.000254082730430454,0.000172133532737497,0.000641505947613043,0.000627319279273131
"nowcast","full",105,0,0.000331939695970243,0.000695426852067907,0.00074944789322183,NA,NA
"forecast","full",105,0,0.000330372340608029,0.000639378660380164,0.000342820979257268,0.00150504382479376,0.0012870887249125
"nowcast","reduced",105,0,0.000198312365668202,0.000239162138565971,0.000364998087561484,NA,NA
"forecast","reduced",105,0,0.000442411871594039,0.000386344565728626,0.000291461128396043,0.00150504382479376,0.0012870887249125
